ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,OGDC,NOLA,2,1,2,0,0,0,2,0,1
2,CAR,NOLA,6,2,0,0,3,2,0,0,1
3,NE,NE,3,3,0,0,3,3,2,0,1
4,DAL,DAL,5,2,2,0,3,2,0,1,1
6,CHI,NOLA,3,3,0,0,6,4,0,0,1
7,SD,SD,2,2,2,0,5,3,0,0,1
8,MIA,NOLA,4,2,1,0,5,4,3,0,1
9,CAR,CAR,6,5,0,0,1,0,0,0,1
11,SEA,NOLA,4,3,2,0,4,4,1,0,1
12,UTAH,NOLA,3,3,0,0,2,2,0,0,1
13,CHI,CHI,3,2,2,0,2,0,1,0,1
14,HOU,NOLA,1,1,0,0,3,3,0,0,1
15,MIA,MIA,2,2,2,0,1,1,2,0,1
16,LA,LA,6,4,0,0,3,3,0,0,1
17,NE,NOLA,4,2,1,0,2,2,1,0,1
18,OGDC,OGDC,4,2,0,0,4,2,0,1,1
