ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,GC,CRR,16,14,9,7,1
2,HAW,SCG,17,16,4,13,1
3,MEL,MCG,12,12,21,8,1
4,PA,SCG,9,10,9,12,1
5,RIC,ADE,18,14,11,12,1
6,GEE,KAR,5,7,20,10,1
7,GWS,SCG,16,10,17,5,1
8,COL,MCG,6,12,11,11,1
9,FRE,SCG,13,8,16,7,1
10,NM,DOC,14,9,14,6,1
11,CAR,SCG,11,11,6,15,1
13,STK,SCG,9,12,12,8,1
14,BL,GAB,12,9,13,19,1
15,WC,SCG,31,19,5,4,1
16,GEE,SCG,6,18,7,12,1
17,RIC,MCG,11,9,12,16,1
18,WB,SCG,11,12,11,10,1
19,FRE,PER,,,,,
20,ESS,DOC,,,,,
21,GWS,SSS,,,,,
22,GC,SCG,,,,,
23,ADE,ADE,,,,,
24,MEL,SCG,,,,,
