ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,PA,ADE,11,6,18,18,1
2,MEL,GAB,14,9,13,4,1
3,WB,DOC,7,11,10,7,1
4,COL,GAB,18,8,11,17,1
5,NM,SUM,22,20,12,5,1
6,GWS,MAN,16,12,13,9,1
7,FRE,GAB,17,13,10,7,1
8,CAR,DOC,15,10,11,8,1
9,ESS,GAB,12,15,6,9,1
10,GC,GAB,16,11,9,10,1
11,ADE,ADE,10,18,14,11,1
13,HAW,MCG,11,7,15,8,1
14,SYD,GAB,13,19,12,9,1
15,STK,DOC,12,12,8,8,1
16,RIC,GAB,20,14,7,11,1
17,WC,GAB,16,20,5,5,1
18,MEL,MCG,,,,,
19,GEE,GAB,,,,,
20,GC,CRR,,,,,
21,FRE,PER,,,,,
22,ADE,GAB,,,,,
23,COL,DOC,,,,,
24,STK,GAB,,,,,
