ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,SF,SF,,,,,,,,,,,,,,,
2,TEN,TEN,,,,,,,,,,,,,,,
2,NE,NY,,,,,,,,,,,,,,,
4,DEN,NY,,,,,,,,,,,,,,,
5,MIN,TOT,,,,,,,,,,,,,,,
6,BUF,NY,,,,,,,,,,,,,,,
7,PIT,PIT,,,,,,,,,,,,,,,
8,NE,NE,,,,,,,,,,,,,,,
9,HOU,NY,,,,,,,,,,,,,,,
10,ARI,ARI,,,,,,,,,,,,,,,
11,IND,NY,,,,,,,,,,,,,,,
13,SEA,NY,,,,,,,,,,,,,,,
14,MIA,MIA,,,,,,,,,,,,,,,
15,JAX,JAX,,,,,,,,,,,,,,,
16,LAR,NY,,,,,,,,,,,,,,,
17,BUF,BUF,,,,,,,,,,,,,,,
18,MIA,NY,,,,,,,,,,,,,,,
