ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,LV,LA,,,,,,,,,,,,,,,
2,CAR,CAR,,,,,,,,,,,,,,,
3,PIT,PIT,,,,,,,,,,,,,,,
4,KC,LA,,,,,,,,,,,,,,,
6,DEN,DEN,,,,,,,,,,,,,,,
7,ARI,ARI,,,,,,,,,,,,,,,
8,NO,LA,,,,,,,,,,,,,,,
9,CLE,CLE,,,,,,,,,,,,,,,
10,TEN,LA,,,,,,,,,,,,,,,
11,CIN,LA,,,,,,,,,,,,,,,
12,BAL,LA,,,,,,,,,,,,,,,
13,ATL,ATL,,,,,,,,,,,,,,,
14,KC,KC,,,,,,,,,,,,,,,
15,TB,LA,,,,,,,,,,,,,,,
16,DEN,LA,,,,,,,,,,,,,,,
17,NE,NE,,,,,,,,,,,,,,,
18,LV,LV,,,,,,,,,,,,,,,
