ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CHI,CHI,,,,,,,,,,,,,,,
2,NYJ,TEN,,,,,,,,,,,,,,,
3,GB,TEN,,,,,,,,,,,,,,,
4,MIA,MIA,,,,,,,,,,,,,,,
6,IND,TEN,,,,,,,,,,,,,,,
7,BUF,BUF,,,,,,,,,,,,,,,
8,DET,DET,,,,,,,,,,,,,,,
9,NE,TEN,,,,,,,,,,,,,,,
10,LAC,LA,,,,,,,,,,,,,,,
11,MIN,TEN,,,,,,,,,,,,,,,
12,HOU,HOU,,,,,,,,,,,,,,,
13,WAS,WAS,,,,,,,,,,,,,,,
14,JAX,TEN,,,,,,,,,,,,,,,
15,CIN,TEN,,,,,,,,,,,,,,,
16,IND,IND,,,,,,,,,,,,,,,
17,JAX,JAX,,,,,,,,,,,,,,,
18,HOU,TEN,,,,,,,,,,,,,,,
