ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,PIT,ATL,,,,,,,,,,,,,,,
2,PHI,PHI,,,,,,,,,,,,,,,
3,KC,ATL,,,,,,,,,,,,,,,
4,NO,ATL,,,,,,,,,,,,,,,
5,TB,ATL,,,,,,,,,,,,,,,
6,CAR,CAR,,,,,,,,,,,,,,,
7,SEA,ATL,,,,,,,,,,,,,,,
8,TB,TB,,,,,,,,,,,,,,,
9,DAL,ATL,,,,,,,,,,,,,,,
10,NO,NO,,,,,,,,,,,,,,,
11,DEN,DEN,,,,,,,,,,,,,,,
13,LAC,ATL,,,,,,,,,,,,,,,
14,MIN,MIN,,,,,,,,,,,,,,,
15,LV,LV,,,,,,,,,,,,,,,
16,NYG,ATL,,,,,,,,,,,,,,,
17,WAS,WAS,,,,,,,,,,,,,,,
18,CAR,ATL,,,,,,,,,,,,,,,
