ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,GB,SP,,,,,,,,,,,,,,,
2,ATL,PHI,,,,,,,,,,,,,,,
3,NO,NO,,,,,,,,,,,,,,,
4,TB,TB,,,,,,,,,,,,,,,
6,CLE,PHI,,,,,,,,,,,,,,,
7,NYG,NY,,,,,,,,,,,,,,,
8,CIN,CIN,,,,,,,,,,,,,,,
9,JAX,PHI,,,,,,,,,,,,,,,
10,DAL,DAL,,,,,,,,,,,,,,,
11,WAS,PHI,,,,,,,,,,,,,,,
12,LAR,LA,,,,,,,,,,,,,,,
13,BAL,BAL,,,,,,,,,,,,,,,
14,CAR,PHI,,,,,,,,,,,,,,,
15,PIT,PHI,,,,,,,,,,,,,,,
16,WAS,WAS,,,,,,,,,,,,,,,
17,DAL,PHI,,,,,,,,,,,,,,,
18,NYG,PHI,,,,,,,,,,,,,,,
