ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,CIN,CIN,,,,,,,,,,,,,,,
2,SEA,NE,,,,,,,,,,,,,,,
2,NYJ,NY,,,,,,,,,,,,,,,
4,SF,SF,,,,,,,,,,,,,,,
5,MIA,NE,,,,,,,,,,,,,,,
6,HOU,NE,,,,,,,,,,,,,,,
7,JAX,LON,,,,,,,,,,,,,,,
8,NYJ,NE,,,,,,,,,,,,,,,
9,TEN,TEN,,,,,,,,,,,,,,,
10,CHI,CHI,,,,,,,,,,,,,,,
11,LAR,NE,,,,,,,,,,,,,,,
12,MIA,MIA,,,,,,,,,,,,,,,
13,IND,NE,,,,,,,,,,,,,,,
15,ARI,ARI,,,,,,,,,,,,,,,
16,BUF,BUF,,,,,,,,,,,,,,,
17,LAC,NE,,,,,,,,,,,,,,,
18,BUF,NE,,,,,,,,,,,,,,,
